title,box_office,genres_IMDB,release_year,averageRating,numVotes,GPE_entities,GPE_US_frequencies,Percentage_american_culture
Deadly Sins,,"Drama,Horror,Mystery",1995.0,4.6,565.0,[],Counter(),0.0
The Road to Hong Kong,,"Comedy,Musical,Sci-Fi",1962.0,6.1,2816.0,"['Calcutta', 'Tibet', 'Hong Kong', 'Tibet', 'Calcutta', 'Hong Kong', 'Hong Kong', 'Hong Kong', 'Hong Kong']",Counter(),0.0
Mussolini and I,,,1985.0,,,[],Counter(),0.0
Playtime,,,1967.0,,,"['Paris', 'Paris', 'Paris', 'Paris']",Counter({'Paris': 4}),1.0
Missing Angel,,,2004.0,,,['UK'],Counter(),0.0
The Two Faces of Dr. Jekyll,,Horror,1960.0,6.3,3502.0,[],Counter(),0.0
Alley Cats Strike,,,2000.0,,,"['West Appleton', 'West Appleton', ""East Appleton's"", 'East', 'East Appleton', 'East Appleton', 'East Appleton', 'East Appleton', 'East Appleton', 'East Appleton']",Counter(),0.0
George A. Romero's Survival of the Dead,143191.0,,2010.0,,,['Delaware'],Counter({'Delaware': 1}),1.0
Whore,,,1991.0,,,"['Los Angeles', 'LA']","Counter({'Los Angeles': 1, 'LA': 1})",1.0
Watchers,,"Action,Horror,Sci-Fi",1988.0,5.4,4873.0,[],Counter(),0.0
Sailor of the King,,"Action,Drama,Romance",1953.0,6.8,714.0,"['Portsmouth', 'London', 'England', 'Portsmouth', 'Saville', 'London', 'Canada', 'London', 'Montreal', 'Canada']","Counter({'London': 3, 'Portsmouth': 2, 'Canada': 2, 'England': 1, 'Montreal': 1})",0.9
Ordinary Decent Criminal,,"Comedy,Crime",2000.0,6.3,14500.0,"['Dublin', 'Dublin']",Counter({'Dublin': 2}),1.0
Jump Tomorrow,,"Comedy,Drama,Romance",2001.0,7.1,1493.0,"['Niagara Falls', 'Canada']","Counter({'Niagara Falls': 1, 'Canada': 1})",1.0
Mission: Impossible II,546388200.0,,2000.0,,,"['the United States', 'Seville', 'Spain', 'Sydney', 'Australia', 'Sydney', 'Australia', 'Sydney']","Counter({'Sydney': 3, 'Seville': 1})",0.5
Nine Hours to Rama,,"Crime,Drama,History",1963.0,6.4,460.0,[],Counter(),0.0
Next of Kin,15942628.0,,1989.0,,,"['Kentucky', 'Appalachia', 'Chicago', 'Chicago', 'Kentucky', 'Chicago', 'Kentucky', 'Chicago', 'Sicily']","Counter({'Chicago': 4, 'Kentucky': 3, 'Appalachia': 1})",0.8888888888888888
Jewel,,,2001.0,,,"['Mississippi', 'Los Angeles', 'California', 'California', 'California', 'California', 'Mississippi', 'Los Angeles', 'Mississippi', 'Mississippi', 'Los Angeles', 'Mississippi', 'California']","Counter({'Mississippi': 5, 'California': 5, 'Los Angeles': 3})",1.0
Lydia,,"Drama,Romance",1941.0,6.4,923.0,[],Counter(),0.0
The Vault of Horror,,,1973.0,,,"['London', 'India', 'Haiti', 'London']",Counter({'London': 2}),0.5
Don't Say a Word,100020092.0,"Drama,Mystery,Thriller",2001.0,6.3,57895.0,['Manhattan'],Counter({'Manhattan': 1}),1.0
"O Brother, Where Art Thou?",71868327.0,"Comedy,Crime,Drama",2000.0,7.7,336469.0,[],Counter(),0.0
Investigating Sex,,,2002.0,,,[],Counter(),0.0
Love in Paris,,"Drama,Romance",1997.0,3.0,4826.0,"['Paris', 'France']",Counter({'Paris': 1}),0.5
Return from the Ashes,,"Crime,Drama,Thriller",1965.0,6.9,1246.0,['France'],Counter(),0.0
JFK,205400000.0,,1991.0,,,"['New Orleans', 'New Orleans', 'Louisiana', 'Dallas', 'Texas', 'Washington', 'D.C.', 'the United States', 'U.S.', 'Dallas', 'Dallas', 'New Zealand', 'U.S.', 'Vietnam', 'Phoenix', 'Arizona', 'New Orleans', 'New Orleans', 'New Orleans']","Counter({'New Orleans': 5, 'Dallas': 3, 'Louisiana': 1, 'Texas': 1, 'Washington': 1, 'Phoenix': 1, 'Arizona': 1})",0.6842105263157895
Kenny,,,1988.0,,,"['Quebec', 'Pittsburgh', 'West Aliquippa', 'Pennsylvania', 'USA']","Counter({'Pittsburgh': 1, 'Pennsylvania': 1})",0.4
Hannibal,351692268.0,,2001.0,,,"['Florence', 'Italy', 'the United States']","Counter({'Florence': 1, 'Italy': 1})",0.6666666666666666
I Downloaded A Ghost,,,2004.0,,,[],Counter(),0.0
Santa's Slay,,,2005.0,,,"['Hell Township', 'Winnipeg']",Counter(),0.0
Warriors of Virtue,,,1997.0,,,['Elysia'],Counter(),0.0
The Fever,,Drama,2004.0,5.6,1374.0,[],Counter(),0.0
Mean Girls,129042871.0,Comedy,2004.0,7.1,449323.0,['US'],Counter(),0.0
Everybody's Fine,15986449.0,,2009.0,,,"['New York', 'Elmira', 'New York']","Counter({'New York': 2, 'Elmira': 1})",1.0
Yentl,40218899.0,,1983.0,,,"['Poland', 'the United States']",Counter({'Poland': 1}),0.5
Rendition,27038732.0,"Drama,Thriller",2007.0,6.8,58627.0,"['North Africa', 'the United States', 'Chicago', 'the United States', 'South Africa', 'South Africa', 'Washington DC', 'South Africa', 'South Africa', 'Egypt', 'America', 'Spain']","Counter({'Chicago': 1, 'Egypt': 1})",0.16666666666666666
We All Scream for Ice Cream,,,2007.0,,,[],Counter(),0.0
Naked Tango,,,1990.0,,,"['Buenos Aires', 'Buenos Aires']",Counter(),0.0
The New Adventures of Pippi Longstocking,3569939.0,"Adventure,Family,Fantasy",1988.0,5.9,4723.0,['Villa Villekulla'],Counter(),0.0
"Paris, Texas",2181987.0,Drama,1984.0,8.1,125591.0,"['Los Angeles', 'Texas', 'Los Angeles', 'Los Angeles', 'Paris', 'Texas', 'Los Angeles', 'Houston', 'Texas', 'Houston', 'Texas', 'Houston', 'Houston', 'Houston']","Counter({'Houston': 5, 'Los Angeles': 4, 'Texas': 4, 'Paris': 1})",1.0
Sound and Fury,,Documentary,2000.0,7.8,1072.0,['Maryland'],Counter({'Maryland': 1}),1.0
Thr3e,,,2007.0,,,[],Counter(),0.0
The Karate Dog,,,2004.0,,,[],Counter(),0.0
Pepe,,,1960.0,,,"['Hollywood', 'Hollywood', 'America']",Counter({'Hollywood': 2}),0.6666666666666666
The Diving Bell and the Butterfly,19777646.0,,2007.0,,,"['Berck-sur-Mer', 'France', 'Lourdes', 'Beirut']",Counter(),0.0
Candles on Bay Street,,,2006.0,,,[],Counter(),0.0
Ruslan,,,2009.0,,,"['California', 'New Jersey', 'Trenton', 'Trenton']","Counter({'Trenton': 2, 'California': 1, 'New Jersey': 1})",1.0
Pokemon 4Ever,28023563.0,,2002.0,,,"['Johto', 'Arborville']",Counter(),0.0
The Interpreter,162944923.0,"Crime,Mystery,Thriller",2005.0,6.4,111847.0,"['New York', 'the Republic of Matobo', 'Matobo', 'Matobo', 'USA', 'Matobo']",Counter({'New York': 1}),0.16666666666666666
Double Identity,,,2009.0,,,['Chechnya'],Counter(),0.0
How to Lose a Guy in 10 Days,177085826.0,"Comedy,Romance",2003.0,6.5,282715.0,"['Staten Island', 'Washington']","Counter({'Staten Island': 1, 'Washington': 1})",1.0
Daughters of the Dust,,,1991.0,,,['South Carolina'],Counter({'South Carolina': 1}),1.0
The Shrimp on the Barbie,458996.0,,1990.0,,,"['Sydney', 'Australia']",Counter({'Sydney': 1}),0.5
Food of the Gods II,,,1989.0,,,[],Counter(),0.0
Sherlock Holmes,524028679.0,"Action,Adventure,Mystery",2009.0,7.6,681239.0,"['London', 'U.S.', 'the United States']",Counter({'London': 1}),0.3333333333333333
Dr. Goldfoot and the Girl Bombs,,,1966.0,,,"['Rome', 'Russia', 'the United States', 'Moscow']","Counter({'Rome': 1, 'Russia': 1, 'Moscow': 1})",0.75
Visions of Light,,"Documentary,History",1992.0,7.7,3363.0,[],Counter(),0.0
Coney Island Baby,,,2003.0,,,"['New York', 'America']",Counter({'New York': 1}),0.5
Zorba the Greek,,,1964.0,,,"['Britain', 'Greece', 'Crete', 'Chania', 'Chania', 'England']","Counter({'Crete': 1, 'England': 1})",0.3333333333333333
The City of Your Final Destination,,,2010.0,,,['Uruguay'],Counter(),0.0
