year,ceremony,award,winner,nominee,film
1976,49,Actor in a Supporting Role,False,Burt Young,Rocky
1976,49,Actress in a Leading Role,False,Marie-Christine Barrault,"Cousin, Cousine"
1976,49,Actress in a Leading Role,True,Faye Dunaway,Network
1976,49,Actress in a Leading Role,False,Talia Shire,Rocky
1976,49,Actress in a Leading Role,False,Sissy Spacek,Carrie
1976,49,Actress in a Leading Role,False,Liv Ullmann,Face to Face
1976,49,Actress in a Supporting Role,False,Jane Alexander,All the President's Men
1976,49,Actress in a Supporting Role,False,Jodie Foster,Taxi Driver
1976,49,Actress in a Supporting Role,False,Lee Grant,Voyage of the Damned
1976,49,Actress in a Supporting Role,False,Piper Laurie,Carrie
1976,49,Actress in a Supporting Role,True,Beatrice Straight,Network
1977,50,Actor in a Leading Role,False,Woody Allen,Annie Hall
1977,50,Actor in a Leading Role,False,Richard Burton,Equus
1977,50,Actor in a Leading Role,True,Richard Dreyfuss,The Goodbye Girl
1977,50,Actor in a Leading Role,False,Marcello Mastroianni,A Special Day
1977,50,Actor in a Leading Role,False,John Travolta,Saturday Night Fever
1977,50,Actor in a Supporting Role,False,Mikhail Baryshnikov,The Turning Point
1977,50,Actor in a Supporting Role,False,Peter Firth,Equus
1977,50,Actor in a Supporting Role,False,Alec Guinness,Star Wars
1977,50,Actor in a Supporting Role,True,Jason Robards,Julia
1977,50,Actor in a Supporting Role,False,Maximilian Schell,Julia
1977,50,Actress in a Leading Role,False,Anne Bancroft,The Turning Point
1977,50,Actress in a Leading Role,False,Jane Fonda,Julia
1977,50,Actress in a Leading Role,True,Diane Keaton,Annie Hall
1977,50,Actress in a Leading Role,False,Shirley MacLaine,The Turning Point
1977,50,Actress in a Leading Role,False,Marsha Mason,The Goodbye Girl
1977,50,Actress in a Supporting Role,False,Leslie Browne,The Turning Point
1977,50,Actress in a Supporting Role,False,Quinn Cummings,The Goodbye Girl
1977,50,Actress in a Supporting Role,False,Melinda Dillon,Close Encounters of the Third Kind
1977,50,Actress in a Supporting Role,True,Vanessa Redgrave,Julia
1977,50,Actress in a Supporting Role,False,Tuesday Weld,Looking for Mr. Goodbar
1978,51,Actor in a Leading Role,False,Warren Beatty,Heaven Can Wait
1978,51,Actor in a Leading Role,False,Gary Busey,The Buddy Holly Story
1978,51,Actor in a Leading Role,False,Robert De Niro,The Deer Hunter
1978,51,Actor in a Leading Role,False,Laurence Olivier,The Boys from Brazil
1978,51,Actor in a Leading Role,True,Jon Voight,Coming Home
1978,51,Actor in a Supporting Role,False,Bruce Dern,Coming Home
1978,51,Actor in a Supporting Role,False,Richard Farnsworth,Comes a Horseman
1978,51,Actor in a Supporting Role,False,John Hurt,Midnight Express
1978,51,Actor in a Supporting Role,True,Christopher Walken,The Deer Hunter
1978,51,Actor in a Supporting Role,False,Jack Warden,Heaven Can Wait
1978,51,Actress in a Leading Role,False,Ingrid Bergman,Autumn Sonata
1978,51,Actress in a Leading Role,False,Ellen Burstyn,"Same Time, Next Year"
1978,51,Actress in a Leading Role,False,Jill Clayburgh,An Unmarried Woman
1978,51,Actress in a Leading Role,True,Jane Fonda,Coming Home
1978,51,Actress in a Leading Role,False,Geraldine Page,Interiors
1978,51,Actress in a Supporting Role,False,Dyan Cannon,Heaven Can Wait
1978,51,Actress in a Supporting Role,False,Penelope Milford,Coming Home
1978,51,Actress in a Supporting Role,True,Maggie Smith,California Suite
1978,51,Actress in a Supporting Role,False,Maureen Stapleton,Interiors
1978,51,Actress in a Supporting Role,False,Meryl Streep,The Deer Hunter
1979,52,Actor in a Leading Role,True,Dustin Hoffman,Kramer vs. Kramer
1979,52,Actor in a Leading Role,False,Jack Lemmon,The China Syndrome
1979,52,Actor in a Leading Role,False,Al Pacino,...And Justice for All
1979,52,Actor in a Leading Role,False,Roy Scheider,All That Jazz
1979,52,Actor in a Leading Role,False,Peter Sellers,Being There
1979,52,Actor in a Supporting Role,True,Melvyn Douglas,Being There
1979,52,Actor in a Supporting Role,False,Robert Duvall,Apocalypse Now
1979,52,Actor in a Supporting Role,False,Frederic Forrest,The Rose
1979,52,Actor in a Supporting Role,False,Justin Henry,Kramer vs. Kramer
1979,52,Actor in a Supporting Role,False,Mickey Rooney,The Black Stallion
1979,52,Actress in a Leading Role,False,Jill Clayburgh,Starting Over
1979,52,Actress in a Leading Role,True,Sally Field,Norma Rae
1979,52,Actress in a Leading Role,False,Jane Fonda,The China Syndrome
1979,52,Actress in a Leading Role,False,Marsha Mason,Chapter Two
1979,52,Actress in a Leading Role,False,Bette Midler,The Rose
1979,52,Actress in a Supporting Role,False,Jane Alexander,Kramer vs. Kramer
1979,52,Actress in a Supporting Role,False,Barbara Barrie,Breaking Away
1979,52,Actress in a Supporting Role,False,Candice Bergen,Starting Over
1979,52,Actress in a Supporting Role,False,Mariel Hemingway,Manhattan
1979,52,Actress in a Supporting Role,True,Meryl Streep,Kramer vs. Kramer
1980,53,Actor in a Leading Role,True,Robert De Niro,Raging Bull
1980,53,Actor in a Leading Role,False,Robert Duvall,The Great Santini
1980,53,Actor in a Leading Role,False,John Hurt,The Elephant Man
1980,53,Actor in a Leading Role,False,Jack Lemmon,Tribute
1980,53,Actor in a Leading Role,False,Peter O'Toole,The Stunt Man
1980,53,Actor in a Supporting Role,False,Judd Hirsch,Ordinary People
1980,53,Actor in a Supporting Role,True,Timothy Hutton,Ordinary People
1980,53,Actor in a Supporting Role,False,Michael O'Keefe,The Great Santini
1980,53,Actor in a Supporting Role,False,Joe Pesci,Raging Bull
1980,53,Actor in a Supporting Role,False,Jason Robards,Melvin and Howard
1980,53,Actress in a Leading Role,False,Ellen Burstyn,Resurrection
1980,53,Actress in a Leading Role,False,Goldie Hawn,Private Benjamin
1980,53,Actress in a Leading Role,False,Mary Tyler Moore,Ordinary People
1980,53,Actress in a Leading Role,False,Gena Rowlands,Gloria
1980,53,Actress in a Leading Role,True,Sissy Spacek,Coal Miner's Daughter
1980,53,Actress in a Supporting Role,False,Eileen Brennan,Private Benjamin
1980,53,Actress in a Supporting Role,False,Eva Le Gallienne,Resurrection
1980,53,Actress in a Supporting Role,False,Cathy Moriarty,Raging Bull
1980,53,Actress in a Supporting Role,False,Diana Scarwid,Inside Moves
1980,53,Actress in a Supporting Role,True,Mary Steenburgen,Melvin and Howard
1981,54,Actor in a Leading Role,False,Warren Beatty,Reds
1981,54,Actor in a Leading Role,True,Henry Fonda,On Golden Pond
1981,54,Actor in a Leading Role,False,Burt Lancaster,Atlantic City
1981,54,Actor in a Leading Role,False,Dudley Moore,Arthur
1981,54,Actor in a Leading Role,False,Paul Newman,Absence of Malice
1981,54,Actor in a Supporting Role,False,James Coco,Only When I Laugh
1981,54,Actor in a Supporting Role,True,John Gielgud,Arthur
1981,54,Actor in a Supporting Role,False,Ian Holm,Chariots of Fire
1981,54,Actor in a Supporting Role,False,Jack Nicholson,Reds
1981,54,Actor in a Supporting Role,False,"Howard E. Rollins, Jr.",Ragtime
1981,54,Actress in a Leading Role,True,Katharine Hepburn,On Golden Pond
1981,54,Actress in a Leading Role,False,Diane Keaton,Reds
1981,54,Actress in a Leading Role,False,Marsha Mason,Only When I Laugh
1981,54,Actress in a Leading Role,False,Susan Sarandon,Atlantic City
1981,54,Actress in a Leading Role,False,Meryl Streep,The French Lieutenant's Woman
1981,54,Actress in a Supporting Role,False,Melinda Dillon,Absence of Malice
1981,54,Actress in a Supporting Role,False,Jane Fonda,On Golden Pond
1981,54,Actress in a Supporting Role,False,Joan Hackett,Only When I Laugh
1981,54,Actress in a Supporting Role,False,Elizabeth McGovern,Ragtime
1981,54,Actress in a Supporting Role,True,Maureen Stapleton,Reds
1982,55,Actor in a Leading Role,False,Dustin Hoffman,Tootsie
1982,55,Actor in a Leading Role,True,Ben Kingsley,Gandhi
1982,55,Actor in a Leading Role,False,Jack Lemmon,Missing
1982,55,Actor in a Leading Role,False,Paul Newman,The Verdict
1982,55,Actor in a Leading Role,False,Peter O'Toole,My Favorite Year
1982,55,Actor in a Supporting Role,False,Charles Durning,The Best Little Whorehouse in Texas
1982,55,Actor in a Supporting Role,True,"Louis Gossett, Jr.",An Officer and a Gentleman
1982,55,Actor in a Supporting Role,False,John Lithgow,The World According to Garp
1982,55,Actor in a Supporting Role,False,James Mason,The Verdict
1982,55,Actor in a Supporting Role,False,Robert Preston,Victor/Victoria
1982,55,Actress in a Leading Role,False,Julie Andrews,Victor/Victoria
1982,55,Actress in a Leading Role,False,Jessica Lange,Frances
1982,55,Actress in a Leading Role,False,Sissy Spacek,Missing
1982,55,Actress in a Leading Role,True,Meryl Streep,Sophie's Choice
1982,55,Actress in a Leading Role,False,Debra Winger,An Officer and a Gentleman
1982,55,Actress in a Supporting Role,False,Glenn Close,The World According to Garp
1982,55,Actress in a Supporting Role,False,Teri Garr,Tootsie
1982,55,Actress in a Supporting Role,True,Jessica Lange,Tootsie
1982,55,Actress in a Supporting Role,False,Kim Stanley,Frances
1982,55,Actress in a Supporting Role,False,Lesley Ann Warren,Victor/Victoria
1983,56,Actor in a Leading Role,False,Michael Caine,Educating Rita
1983,56,Actor in a Leading Role,False,Tom Conti,"Reuben, Reuben"
1983,56,Actor in a Leading Role,False,Tom Courtenay,The Dresser
1983,56,Actor in a Leading Role,True,Robert Duvall,Tender Mercies
1983,56,Actor in a Leading Role,False,Albert Finney,The Dresser
1983,56,Actor in a Supporting Role,False,Charles Durning,To Be or Not to Be
1983,56,Actor in a Supporting Role,False,John Lithgow,Terms of Endearment
1983,56,Actor in a Supporting Role,True,Jack Nicholson,Terms of Endearment
1983,56,Actor in a Supporting Role,False,Sam Shepard,The Right Stuff
1983,56,Actor in a Supporting Role,False,Rip Torn,Cross Creek
1983,56,Actress in a Leading Role,False,Jane Alexander,Testament
1983,56,Actress in a Leading Role,True,Shirley MacLaine,Terms of Endearment
1983,56,Actress in a Leading Role,False,Meryl Streep,Silkwood
1983,56,Actress in a Leading Role,False,Julie Walters,Educating Rita
1983,56,Actress in a Leading Role,False,Debra Winger,Terms of Endearment
1983,56,Actress in a Supporting Role,False,Cher,Silkwood
1983,56,Actress in a Supporting Role,False,Glenn Close,The Big Chill
1983,56,Actress in a Supporting Role,True,Linda Hunt,The Year of Living Dangerously
1983,56,Actress in a Supporting Role,False,Amy Irving,Yentl
1983,56,Actress in a Supporting Role,False,Alfre Woodard,Cross Creek
1984,57,Actor in a Leading Role,True,F. Murray Abraham,Amadeus
1984,57,Actor in a Leading Role,False,Jeff Bridges,Starman
1984,57,Actor in a Leading Role,False,Albert Finney,Under the Volcano
1984,57,Actor in a Leading Role,False,Tom Hulce,Amadeus
1984,57,Actor in a Leading Role,False,Sam Waterston,The Killing Fields
1984,57,Actor in a Supporting Role,False,Adolph Caesar,A Soldier's Story
1984,57,Actor in a Supporting Role,False,John Malkovich,Places in the Heart
1984,57,Actor in a Supporting Role,False,Noriyuki 'Pat' Morita,The Karate Kid
1984,57,Actor in a Supporting Role,True,Haing S. Ngor,The Killing Fields
1984,57,Actor in a Supporting Role,False,Ralph Richardson,"Greystoke: The Legend of Tarzan, Lord of the Apes"
1984,57,Actress in a Leading Role,False,Judy Davis,A Passage to India
1984,57,Actress in a Leading Role,True,Sally Field,Places in the Heart
1984,57,Actress in a Leading Role,False,Jessica Lange,Country
1984,57,Actress in a Leading Role,False,Vanessa Redgrave,The Bostonians
1984,57,Actress in a Leading Role,False,Sissy Spacek,The River
1984,57,Actress in a Supporting Role,True,Peggy Ashcroft,A Passage to India
1984,57,Actress in a Supporting Role,False,Glenn Close,The Natural
1984,57,Actress in a Supporting Role,False,Lindsay Crouse,Places in the Heart
1984,57,Actress in a Supporting Role,False,Christine Lahti,Swing Shift
1984,57,Actress in a Supporting Role,False,Geraldine Page,The Pope of Greenwich Village
1985,58,Actor in a Leading Role,False,Harrison Ford,Witness
1985,58,Actor in a Leading Role,False,James Garner,Murphy's Romance
1985,58,Actor in a Leading Role,True,William Hurt,Kiss of the Spider Woman
1985,58,Actor in a Leading Role,False,Jack Nicholson,Prizzi's Honor
1985,58,Actor in a Leading Role,False,Jon Voight,Runaway Train
1985,58,Actor in a Supporting Role,True,Don Ameche,Cocoon
1985,58,Actor in a Supporting Role,False,Klaus Maria Brandauer,Out of Africa
1985,58,Actor in a Supporting Role,False,William Hickey,Prizzi's Honor
1985,58,Actor in a Supporting Role,False,Robert Loggia,Jagged Edge
1985,58,Actor in a Supporting Role,False,Eric Roberts,Runaway Train
1985,58,Actress in a Leading Role,False,Anne Bancroft,Agnes of God
1985,58,Actress in a Leading Role,False,Whoopi Goldberg,The Color Purple
1985,58,Actress in a Leading Role,False,Jessica Lange,Sweet Dreams
1985,58,Actress in a Leading Role,True,Geraldine Page,The Trip to Bountiful
1985,58,Actress in a Leading Role,False,Meryl Streep,Out of Africa
1985,58,Actress in a Supporting Role,False,Margaret Avery,The Color Purple
1985,58,Actress in a Supporting Role,True,Anjelica Huston,Prizzi's Honor
1985,58,Actress in a Supporting Role,False,Amy Madigan,Twice in a Lifetime
1985,58,Actress in a Supporting Role,False,Meg Tilly,Agnes of God
1985,58,Actress in a Supporting Role,False,Oprah Winfrey,The Color Purple
1986,59,Actor in a Leading Role,False,Dexter Gordon,'Round Midnight
1986,59,Actor in a Leading Role,False,Bob Hoskins,Mona Lisa
1986,59,Actor in a Leading Role,False,William Hurt,Children of a Lesser God
1986,59,Actor in a Leading Role,True,Paul Newman,The Color of Money
1986,59,Actor in a Leading Role,False,James Woods,Salvador
1986,59,Actor in a Supporting Role,False,Tom Berenger,Platoon
1986,59,Actor in a Supporting Role,True,Michael Caine,Hannah and Her Sisters
1986,59,Actor in a Supporting Role,False,Willem Dafoe,Platoon
1986,59,Actor in a Supporting Role,False,Denholm Elliott,A Room with a View
1986,59,Actor in a Supporting Role,False,Dennis Hopper,Hoosiers
1986,59,Actress in a Leading Role,False,Jane Fonda,The Morning After
1986,59,Actress in a Leading Role,True,Marlee Matlin,Children of a Lesser God
1986,59,Actress in a Leading Role,False,Sissy Spacek,Crimes of the Heart
1986,59,Actress in a Leading Role,False,Kathleen Turner,Peggy Sue Got Married
1986,59,Actress in a Leading Role,False,Sigourney Weaver,Aliens
1986,59,Actress in a Supporting Role,False,Tess Harper,Crimes of the Heart
1986,59,Actress in a Supporting Role,False,Piper Laurie,Children of a Lesser God
1986,59,Actress in a Supporting Role,False,Mary Elizabeth Mastrantonio,The Color of Money
1986,59,Actress in a Supporting Role,False,Maggie Smith,A Room with a View
1986,59,Actress in a Supporting Role,True,Dianne Wiest,Hannah and Her Sisters
1987,60,Actor in a Leading Role,True,Michael Douglas,Wall Street
1987,60,Actor in a Leading Role,False,William Hurt,Broadcast News
1987,60,Actor in a Leading Role,False,Marcello Mastroianni,Dark Eyes
1987,60,Actor in a Leading Role,False,Jack Nicholson,Ironweed
1987,60,Actor in a Leading Role,False,Robin Williams,"Good Morning, Vietnam"
1987,60,Actor in a Supporting Role,False,Albert Brooks,Broadcast News
1987,60,Actor in a Supporting Role,True,Sean Connery,The Untouchables
1987,60,Actor in a Supporting Role,False,Morgan Freeman,Street Smart
1987,60,Actor in a Supporting Role,False,Vincent Gardenia,Moonstruck
1987,60,Actor in a Supporting Role,False,Denzel Washington,Cry Freedom
1987,60,Actress in a Leading Role,True,Cher,Moonstruck
1987,60,Actress in a Leading Role,False,Glenn Close,Fatal Attraction
1987,60,Actress in a Leading Role,False,Holly Hunter,Broadcast News
1987,60,Actress in a Leading Role,False,Sally Kirkland,Anna
1987,60,Actress in a Leading Role,False,Meryl Streep,Ironweed
1987,60,Actress in a Supporting Role,False,Norma Aleandro,Gaby - A True Story
1987,60,Actress in a Supporting Role,False,Anne Archer,Fatal Attraction
1987,60,Actress in a Supporting Role,True,Olympia Dukakis,Moonstruck
1987,60,Actress in a Supporting Role,False,Anne Ramsey,Throw Momma from the Train
1987,60,Actress in a Supporting Role,False,Ann Sothern,The Whales of August
1988,61,Actor in a Leading Role,False,Gene Hackman,Mississippi Burning
1988,61,Actor in a Leading Role,False,Tom Hanks,Big
1988,61,Actor in a Leading Role,True,Dustin Hoffman,Rain Man
1988,61,Actor in a Leading Role,False,Edward James Olmos,Stand and Deliver
1988,61,Actor in a Leading Role,False,Max von Sydow,Pelle the Conqueror
1988,61,Actor in a Supporting Role,False,Alec Guinness,Little Dorrit
1988,61,Actor in a Supporting Role,True,Kevin Kline,A Fish Called Wanda
1988,61,Actor in a Supporting Role,False,Martin Landau,Tucker The Man and His Dream
1988,61,Actor in a Supporting Role,False,River Phoenix,Running on Empty
1988,61,Actor in a Supporting Role,False,Dean Stockwell,Married to the Mob
1988,61,Actress in a Leading Role,False,Glenn Close,Dangerous Liaisons
1988,61,Actress in a Leading Role,True,Jodie Foster,The Accused
1988,61,Actress in a Leading Role,False,Melanie Griffith,Working Girl
1988,61,Actress in a Leading Role,False,Meryl Streep,A Cry in the Dark
1988,61,Actress in a Leading Role,False,Sigourney Weaver,Gorillas in the Mist
1988,61,Actress in a Supporting Role,False,Joan Cusack,Working Girl
1988,61,Actress in a Supporting Role,True,Geena Davis,The Accidental Tourist
1988,61,Actress in a Supporting Role,False,Frances McDormand,Mississippi Burning
1988,61,Actress in a Supporting Role,False,Michelle Pfeiffer,Dangerous Liaisons
1988,61,Actress in a Supporting Role,False,Sigourney Weaver,Working Girl
1989,62,Actor in a Leading Role,False,Kenneth Branagh,Henry V
1989,62,Actor in a Leading Role,False,Tom Cruise,Born on the Fourth of July
1989,62,Actor in a Leading Role,True,Daniel Day Lewis,My Left Foot
1989,62,Actor in a Leading Role,False,Morgan Freeman,Driving Miss Daisy
1989,62,Actor in a Leading Role,False,Robin Williams,Dead Poets Society
1989,62,Actor in a Supporting Role,False,Danny Aiello,Do the Right Thing
1989,62,Actor in a Supporting Role,False,Dan Aykroyd,Driving Miss Daisy
1989,62,Actor in a Supporting Role,False,Marlon Brando,A Dry White Season
1989,62,Actor in a Supporting Role,False,Martin Landau,Crimes and Misdemeanors
1989,62,Actor in a Supporting Role,True,Denzel Washington,Glory
1989,62,Actress in a Leading Role,False,Isabelle Adjani,Camille Claudel
1989,62,Actress in a Leading Role,False,Pauline Collins,Shirley Valentine
1989,62,Actress in a Leading Role,False,Jessica Lange,Music Box
1989,62,Actress in a Leading Role,False,Michelle Pfeiffer,The Fabulous Baker Boys
1989,62,Actress in a Leading Role,True,Jessica Tandy,Driving Miss Daisy
1989,62,Actress in a Supporting Role,True,Brenda Fricker,My Left Foot
1989,62,Actress in a Supporting Role,False,Anjelica Huston,"Enemies, A Love Story"
1989,62,Actress in a Supporting Role,False,Lena Olin,"Enemies, A Love Story"
1989,62,Actress in a Supporting Role,False,Julia Roberts,Steel Magnolias
1989,62,Actress in a Supporting Role,False,Dianne Wiest,Parenthood
1990,63,Actor in a Leading Role,False,Kevin Costner,Dances With Wolves
1990,63,Actor in a Leading Role,False,Robert De Niro,Awakenings
1990,63,Actor in a Leading Role,False,Gerard Depardieu,Cyrano de Bergerac
1990,63,Actor in a Leading Role,False,Richard Harris,The Field
1990,63,Actor in a Leading Role,True,Jeremy Irons,Reversal of Fortune
1990,63,Actor in a Supporting Role,False,Bruce Davison,Longtime Companion
1990,63,Actor in a Supporting Role,False,Andy Garcia,"The Godfather, Part III"
1990,63,Actor in a Supporting Role,False,Graham Greene,Dances With Wolves
1990,63,Actor in a Supporting Role,False,Al Pacino,Dick Tracy
1990,63,Actor in a Supporting Role,True,Joe Pesci,Good Fellas
1990,63,Actress in a Leading Role,True,Kathy Bates,Misery
1990,63,Actress in a Leading Role,False,Anjelica Huston,The Grifters
1990,63,Actress in a Leading Role,False,Julia Roberts,Pretty Woman
1990,63,Actress in a Leading Role,False,Meryl Streep,Postcards from the Edge
1990,63,Actress in a Leading Role,False,Joanne Woodward,Mr. & Mrs. Bridge
1990,63,Actress in a Supporting Role,False,Annette Bening,The Grifters
1990,63,Actress in a Supporting Role,False,Lorraine Bracco,Good Fellas
1990,63,Actress in a Supporting Role,True,Whoopi Goldberg,Ghost
1990,63,Actress in a Supporting Role,False,Diane Ladd,Wild at Heart
1990,63,Actress in a Supporting Role,False,Mary McDonnell,Dances With Wolves
1991,64,Actor in a Leading Role,False,Warren Beatty,Bugsy
1991,64,Actor in a Leading Role,False,Robert De Niro,Cape Fear
1991,64,Actor in a Leading Role,True,Anthony Hopkins,The Silence of the Lambs
1991,64,Actor in a Leading Role,False,Nick Nolte,The Prince of Tides
1991,64,Actor in a Leading Role,False,Robin Williams,The Fisher King
1991,64,Actor in a Supporting Role,False,Tommy Lee Jones,JFK
1991,64,Actor in a Supporting Role,False,Harvey Keitel,Bugsy
1991,64,Actor in a Supporting Role,False,Ben Kingsley,Bugsy
1991,64,Actor in a Supporting Role,False,Michael Lerner,Barton Fink
1991,64,Actor in a Supporting Role,True,Jack Palance,City Slickers
1991,64,Actress in a Leading Role,False,Geena Davis,Thelma & Louise
1991,64,Actress in a Leading Role,False,Laura Dern,Rambling Rose
1991,64,Actress in a Leading Role,True,Jodie Foster,The Silence of the Lambs
1991,64,Actress in a Leading Role,False,Bette Midler,For the Boys
1991,64,Actress in a Leading Role,False,Susan Sarandon,Thelma & Louise
1991,64,Actress in a Supporting Role,False,Diane Ladd,Rambling Rose
1991,64,Actress in a Supporting Role,False,Juliette Lewis,Cape Fear
1991,64,Actress in a Supporting Role,False,Kate Nelligan,The Prince of Tides
1991,64,Actress in a Supporting Role,True,Mercedes Ruehl,The Fisher King
1991,64,Actress in a Supporting Role,False,Jessica Tandy,Fried Green Tomatoes
1992,65,Actor in a Leading Role,False,Robert Downey Jr.,Chaplin
1992,65,Actor in a Leading Role,False,Clint Eastwood,Unforgiven
1992,65,Actor in a Leading Role,True,Al Pacino,Scent of a Woman
1992,65,Actor in a Leading Role,False,Stephen Rea,The Crying Game
1992,65,Actor in a Leading Role,False,Denzel Washington,Malcolm X
1992,65,Actor in a Supporting Role,False,Jaye Davidson,The Crying Game
1992,65,Actor in a Supporting Role,True,Gene Hackman,Unforgiven
1992,65,Actor in a Supporting Role,False,Jack Nicholson,A Few Good Men
1992,65,Actor in a Supporting Role,False,Al Pacino,Glengarry Glen Ross
1992,65,Actor in a Supporting Role,False,David Paymer,Mr. Saturday Night
1992,65,Actress in a Leading Role,False,Catherine Deneuve,Indochine
1992,65,Actress in a Leading Role,False,Mary McDonnell,Passion Fish
1992,65,Actress in a Leading Role,False,Michelle Pfeiffer,Love Field
1992,65,Actress in a Leading Role,False,Susan Sarandon,Lorenzo's Oil
1992,65,Actress in a Leading Role,True,Emma Thompson,Howards End
1992,65,Actress in a Supporting Role,False,Judy Davis,Husbands and Wives
1992,65,Actress in a Supporting Role,False,Joan Plowright,Enchanted April
1992,65,Actress in a Supporting Role,False,Vanessa Redgrave,Howards End
1992,65,Actress in a Supporting Role,False,Miranda Richardson,Damage
1992,65,Actress in a Supporting Role,True,Marisa Tomei,My Cousin Vinny
1993,66,Actor in a Leading Role,False,Daniel Day-Lewis,In the Name of the Father
1993,66,Actor in a Leading Role,False,Laurence Fishburne,What's Love Got to Do with It
1993,66,Actor in a Leading Role,True,Tom Hanks,Philadelphia
1993,66,Actor in a Leading Role,False,Anthony Hopkins,The Remains of the Day
1993,66,Actor in a Leading Role,False,Liam Neeson,Schindler's List
1993,66,Actor in a Supporting Role,False,Leonardo DiCaprio,What's Eating Gilbert Grape
1993,66,Actor in a Supporting Role,False,Ralph Fiennes,Schindler's List
1993,66,Actor in a Supporting Role,True,Tommy Lee Jones,The Fugitive
1993,66,Actor in a Supporting Role,False,John Malkovich,In the Line of Fire
1993,66,Actor in a Supporting Role,False,Pete Postlethwaite,In the Name of the Father
1993,66,Actress in a Leading Role,False,Angela Bassett,What's Love Got to Do with It
1993,66,Actress in a Leading Role,False,Stockard Channing,Six Degrees of Separation
1993,66,Actress in a Leading Role,True,Holly Hunter,The Piano
1993,66,Actress in a Leading Role,False,Emma Thompson,The Remains of the Day
1993,66,Actress in a Leading Role,False,Debra Winger,Shadowlands
1993,66,Actress in a Supporting Role,False,Holly Hunter,The Firm
1993,66,Actress in a Supporting Role,True,Anna Paquin,The Piano
1993,66,Actress in a Supporting Role,False,Rosie Perez,Fearless
1993,66,Actress in a Supporting Role,False,Winona Ryder,The Age of Innocence
1993,66,Actress in a Supporting Role,False,Emma Thompson,In the Name of the Father
1994,67,Actor in a Leading Role,False,Morgan Freeman,The Shawshank Redemption
1994,67,Actor in a Leading Role,True,Tom Hanks,Forrest Gump
1994,67,Actor in a Leading Role,False,Nigel Hawthorne,The Madness of King George
1994,67,Actor in a Leading Role,False,Paul Newman,Nobody's Fool
1994,67,Actor in a Leading Role,False,John Travolta,Pulp Fiction
1994,67,Actor in a Supporting Role,False,Samuel L. Jackson,Pulp Fiction
1994,67,Actor in a Supporting Role,True,Martin Landau,Ed Wood
1994,67,Actor in a Supporting Role,False,Chazz Palminteri,Bullets over Broadway
1994,67,Actor in a Supporting Role,False,Paul Scofield,Quiz Show
1994,67,Actor in a Supporting Role,False,Gary Sinise,Forrest Gump
1994,67,Actress in a Leading Role,False,Jodie Foster,Nell
1994,67,Actress in a Leading Role,True,Jessica Lange,Blue Sky
1994,67,Actress in a Leading Role,False,Miranda Richardson,Tom & Viv
1994,67,Actress in a Leading Role,False,Winona Ryder,Little Women
1994,67,Actress in a Leading Role,False,Susan Sarandon,The Client
1994,67,Actress in a Supporting Role,False,Rosemary Harris,Tom & Viv
1994,67,Actress in a Supporting Role,False,Helen Mirren,The Madness of King George
1994,67,Actress in a Supporting Role,False,Uma Thurman,Pulp Fiction
1994,67,Actress in a Supporting Role,False,Jennifer Tilly,Bullets over Broadway
1994,67,Actress in a Supporting Role,True,Dianne Wiest,Bullets over Broadway
1995,68,Actor in a Leading Role,True,Nicolas Cage,Leaving Las Vegas
1995,68,Actor in a Leading Role,False,Richard Dreyfuss,Mr. Holland's Opus
1995,68,Actor in a Leading Role,False,Anthony Hopkins,Nixon
1995,68,Actor in a Leading Role,False,Sean Penn,Dead Man Walking
1995,68,Actor in a Leading Role,False,Massimo Troisi,The Postman (Il Postino)
1995,68,Actor in a Supporting Role,False,James Cromwell,Babe
1995,68,Actor in a Supporting Role,False,Ed Harris,Apollo 13
1995,68,Actor in a Supporting Role,False,Brad Pitt,12 Monkeys
1995,68,Actor in a Supporting Role,False,Tim Roth,Rob Roy
1995,68,Actor in a Supporting Role,True,Kevin Spacey,The Usual Suspects
1995,68,Actress in a Leading Role,True,Susan Sarandon,Dead Man Walking
1995,68,Actress in a Leading Role,False,Elisabeth Shue,Leaving Las Vegas
1995,68,Actress in a Leading Role,False,Sharon Stone,Casino
1995,68,Actress in a Leading Role,False,Meryl Streep,The Bridges of Madison County
1995,68,Actress in a Leading Role,False,Emma Thompson,Sense and Sensibility
1995,68,Actress in a Supporting Role,False,Joan Allen,Nixon
1995,68,Actress in a Supporting Role,False,Kathleen Quinlan,Apollo 13
1995,68,Actress in a Supporting Role,True,Mira Sorvino,Mighty Aphrodite
1995,68,Actress in a Supporting Role,False,Mare Winningham,Georgia
1995,68,Actress in a Supporting Role,False,Kate Winslet,Sense and Sensibility
1996,69,Actor in a Leading Role,False,Tom Cruise,Jerry Maguire
1996,69,Actor in a Leading Role,False,Ralph Fiennes,The English Patient
1996,69,Actor in a Leading Role,False,Woody Harrelson,The People vs. Larry Flynt
1996,69,Actor in a Leading Role,True,Geoffrey Rush,Shine
1996,69,Actor in a Leading Role,False,Billy Bob Thornton,Sling Blade
1996,69,Actor in a Supporting Role,True,"Cuba Gooding, Jr.",Jerry Maguire
1996,69,Actor in a Supporting Role,False,William H. Macy,Fargo
1996,69,Actor in a Supporting Role,False,Armin Mueller-Stahl,Shine
1996,69,Actor in a Supporting Role,False,Edward Norton,Primal Fear
